Time,PFOA,GVA
31/10/2019 10:40:00,0.00633,14377
19/11/2019 10:25:00,0.00388,14377
16/12/2019 10:00:00,0.00359,14377
15/01/2020 13:55:00,0.00316,13877
06/08/2020 11:05:00,0.00405,13877
10/09/2020 13:25:00,0.0032,13877
07/10/2020 11:45:00,0.00335,13877
22/10/2020 12:10:00,0.00325,13877
17/11/2020 10:42:00,0.00355,13877
16/12/2020 12:50:00,0.00307,13877
04/01/2021 12:40:00,0.00499,14626
27/01/2021 12:15:00,0.00354,14626
22/02/2021 09:30:00,0.00271,14626
11/03/2021 09:35:00,0.00355,14626
12/04/2021 12:35:00,0.00207,14626
20/05/2021 11:20:00,0.00193,14626
09/06/2021 11:15:00,0.00301,14626
25/07/2021 11:15:00,0.00276,14626
24/08/2021 09:25:00,0.00242,14626
09/09/2021 13:25:00,0.00689,14626
07/10/2021 12:40:00,0.00249,14626
30/11/2021 12:15:00,0.00314,14626
16/12/2021 09:30:00,0.00245,14626
04/01/2022 13:40:00,0.00232,14626
